id,proyecto,version_doc,parametro,valor_original,unidad_original,valor_ms,es_valor_especial,tipo_timeout,fuente_url
104,kafka,3.9,metadata.log.max.snapshot.interval.ms,3600000,ms,3600000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_metadata.log.max.snapshot.interval.ms
105,kafka,3.9,metadata.log.segment.ms,604800000,ms,604800000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_metadata.log.segment.ms
106,kafka,3.9,metadata.max.idle.interval.ms,500,ms,500,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_metadata.max.idle.interval.ms
107,kafka,3.9,metadata.max.retention.ms,604800000,ms,604800000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_metadata.max.retention.ms
108,kafka,3.9,offsets.retention.check.interval.ms,600000,ms,600000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_offsets.retention.check.interval.ms
109,kafka,3.9,offsets.retention.minutes,10080,min,604800000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_offsets.retention.minutes
110,kafka,3.9,producer.id.expiration.ms,86400000,ms,86400000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_producer.id.expiration.ms
111,kafka,3.9,remote.log.manager.task.interval.ms,30000,ms,30000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_remote.log.manager.task.interval.ms
112,kafka,3.9,replica.high.watermark.checkpoint.interval.ms,5000,ms,5000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_replica.high.watermark.checkpoint.interval.ms
113,kafka,3.9,transaction.abort.timed.out.transaction.cleanup.interval.ms,10000,ms,10000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_transaction.abort.timed.out.transaction.cleanup.interval.ms
114,kafka,3.9,transaction.remove.expired.transaction.cleanup.interval.ms,3600000,ms,3600000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_transaction.remove.expired.transaction.cleanup.interval.ms
115,kafka,3.9,transactional.id.expiration.ms,604800000,ms,604800000,false,OTRO,https://kafka.apache.org/documentation/#brokerconfigs_transactional.id.expiration.ms
116,kafka,3.9,request.timeout.ms,30000,ms,30000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#producerconfigs_request.timeout.ms
117,kafka,3.9,delivery.timeout.ms,120000,ms,120000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#producerconfigs_delivery.timeout.ms
118,kafka,3.9,linger.ms,0,ms,,true,OTRO,https://kafka.apache.org/documentation/#producerconfigs_linger.ms
119,kafka,3.9,connections.max.idle.ms,540000,ms,540000,false,IDLE,https://kafka.apache.org/documentation/#producerconfigs_connections.max.idle.ms
120,kafka,3.9,max.block.ms,60000,ms,60000,false,OTRO,https://kafka.apache.org/documentation/#producerconfigs_max.block.ms
121,kafka,3.9,transaction.timeout.ms,60000,ms,60000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#producerconfigs_transaction.timeout.ms
122,kafka,3.9,socket.connection.setup.timeout.ms,10000,ms,10000,false,CONNECT,https://kafka.apache.org/documentation/#producerconfigs_socket.connection.setup.timeout.ms
123,kafka,3.9,socket.connection.setup.timeout.max.ms,30000,ms,30000,false,CONNECT,https://kafka.apache.org/documentation/#producerconfigs_socket.connection.setup.timeout.max.ms
124,kafka,3.9,reconnect.backoff.ms,50,ms,50,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#producerconfigs_reconnect.backoff.ms
125,kafka,3.9,reconnect.backoff.max.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#producerconfigs_reconnect.backoff.max.ms
126,kafka,3.9,retry.backoff.ms,100,ms,100,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#producerconfigs_retry.backoff.ms
127,kafka,3.9,retry.backoff.max.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#producerconfigs_retry.backoff.max.ms
128,kafka,3.9,partitioner.availability.timeout.ms,0,ms,,true,OTRO,https://kafka.apache.org/documentation/#producerconfigs_partitioner.availability.timeout.ms
129,kafka,3.9,metadata.max.age.ms,300000,ms,300000,false,OTRO,https://kafka.apache.org/documentation/#producerconfigs_metadata.max.age.ms
130,kafka,3.9,metadata.max.idle.ms,300000,ms,300000,false,IDLE,https://kafka.apache.org/documentation/#producerconfigs_metadata.max.idle.ms
131,kafka,3.9,session.timeout.ms,45000,ms,45000,false,SESSION,https://kafka.apache.org/documentation/#consumerconfigs_session.timeout.ms
132,kafka,3.9,heartbeat.interval.ms,3000,ms,3000,false,HEARTBEAT_KEEPALIVE,https://kafka.apache.org/documentation/#consumerconfigs_heartbeat.interval.ms
133,kafka,3.9,request.timeout.ms,30000,ms,30000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#consumerconfigs_request.timeout.ms
134,kafka,3.9,default.api.timeout.ms,60000,ms,60000,false,REQUEST_RPC,https://kafka.apache.org/documentation/#consumerconfigs_default.api.timeout.ms
135,kafka,3.9,max.poll.interval.ms,300000,ms,300000,false,SESSION,https://kafka.apache.org/documentation/#consumerconfigs_max.poll.interval.ms
136,kafka,3.9,fetch.max.wait.ms,500,ms,500,false,READ_SOCKET,https://kafka.apache.org/documentation/#consumerconfigs_fetch.max.wait.ms
137,kafka,3.9,connections.max.idle.ms,540000,ms,540000,false,IDLE,https://kafka.apache.org/documentation/#consumerconfigs_connections.max.idle.ms
138,kafka,3.9,socket.connection.setup.timeout.ms,10000,ms,10000,false,CONNECT,https://kafka.apache.org/documentation/#consumerconfigs_socket.connection.setup.timeout.ms
139,kafka,3.9,socket.connection.setup.timeout.max.ms,30000,ms,30000,false,CONNECT,https://kafka.apache.org/documentation/#consumerconfigs_socket.connection.setup.timeout.max.ms
140,kafka,3.9,reconnect.backoff.ms,50,ms,50,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#consumerconfigs_reconnect.backoff.ms
141,kafka,3.9,reconnect.backoff.max.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#consumerconfigs_reconnect.backoff.max.ms
142,kafka,3.9,retry.backoff.ms,100,ms,100,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#consumerconfigs_retry.backoff.ms
143,kafka,3.9,retry.backoff.max.ms,1000,ms,1000,false,RETRY_BACKOFF,https://kafka.apache.org/documentation/#consumerconfigs_retry.backoff.max.ms
144,kafka,3.9,metadata.max.age.ms,300000,ms,300000,false,OTRO,https://kafka.apache.org/documentation/#consumerconfigs_metadata.max.age.ms
145,kafka,3.9,auto.commit.interval.ms,5000,ms,5000,false,OTRO,https://kafka.apache.org/documentation/#consumerconfigs_auto.commit.interval.ms
